Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
BBIH,BRGH,"{""apda-jspa"":0.21,""apda-path"":0.07,""blraexnktk-jspa"":0.91,""blraexnktk-path"":0.57,""cbea-jspa"":1.84,""cbea-path"":0.04,""coka-jspa"":0,""coka-path"":0.07,""hyda-jspa"":1.08,""hyda-path"":0.43,""ixma-jspa"":0.01,""ixma-path"":0,""maaa-jspa"":1.26,""maaa-path"":0.67,""nktk-jspa"":0.01,""orsa-eastukna"":0.12,""orsa-eastup"":0.03,""orsa-ixca"":0.03,""orsa-jaia"":0.02,""orsa-jspa"":0.08,""orsa-ncrnonup"":0.21,""orsa-ncrup"":0.21,""orsa-path"":0.2,""orsa-sjaia"":0.01,""tirb-path"":0}",8.08,6.53,1.55
AGRB,IDRH,"{""westup-amda"":0.38,""westup-apda"":0.17,""westup-blraexnktk"":3.48,""westup-boma"":2.43,""westup-cbea"":1.79,""westup-cgsa"":0.09,""westup-coka"":0.66,""westup-goia"":0.09,""westup-hyda"":0.9,""westup-idra"":0.18,""westup-ixma"":0.16,""westup-ixub"":0.05,""westup-maaa"":0.79,""westup-naga"":0.14,""westup-pnqa"":0.66,""westup-sguj"":0.16,""westup-snra"":0.06,""westup-tirb"":0}",12.19,10.65,1.54
CCUH,BRGH,"{""ccua-jspa"":2.68,""ccua-path"":4.19,""guaa-jspa"":0.08,""guaa-path"":0.28}",7.23,5.72,1.51
RPRH,BRGH,"{""amda-jspa"":0.57,""boma-jspa"":3.35,""cgsa-jspa"":0.12,""cgsa-path"":0.04,""goia-jspa"":0.33,""idra-jspa"":0.06,""ixub-jspa"":0.04,""ixub-path"":0.19,""naga-jspa"":0.05,""naga-path"":0.21,""pnqa-jspa"":4.04,""sguj-jspa"":0.76,""snra-jspa"":0.24}",10,8.51,1.49
HYDH,BOMH,"{""apda-boma"":3.95,""apda-sguj"":0.07,""hyda-boma"":3.05,""hyda-sguj"":0.66,""tirb-boma"":0.41,""tirb-sguj"":0.06}",8.2,6.75,1.45
GZBH,RDPH,"{""amda-eastukna"":0.39,""apda-eastukna"":0.24,""blraexnktk-eastukna"":0.42,""boma-eastukna"":0.31,""ccua-eastukna"":0.01,""coka-eastukna"":0.01,""eastup-eastukna"":0.28,""goia-eastukna"":0.01,""hyda-eastukna"":0.07,""ixca-eastukna"":0.5,""ixub-eastukna"":0.02,""jaia-eastukna"":0.05,""jspa-eastukna"":0.29,""maaa-eastukna"":0.51,""naga-eastukna"":0.03,""ncrnonup-eastukna"":1.08,""ncrup-eastukna"":0.51,""orsa-eastukna"":0.12,""pnpf-eastukna"":0.03,""pnqa-eastukna"":0.76,""sguj-eastukna"":0.19,""snra-eastukna"":0.09,""westup-eastukna"":0.07}",5.99,4.55,1.44
BLRH,VZAH,"{""blraexnktk-apda"":3.26,""blraexnktk-jspa"":0.91,""blraexnktk-orsa"":1.39,""blraexnktk-path"":0.57,""cbea-apda"":0.27,""cbea-jspa"":1.84,""cbea-orsa"":0.29,""cbea-path"":0.04,""coka-apda"":0.13,""coka-jspa"":0,""coka-orsa"":0.14,""coka-path"":0.07,""ixma-apda"":0.07,""ixma-jspa"":0.01,""ixma-orsa"":0,""ixma-path"":0,""nktk-apda"":0.18,""nktk-jspa"":0.01,""nktk-orsa"":0.14}",9.32,7.9,1.42
VZAH,HYDH,"{""apda-amda"":1.22,""apda-boma"":3.95,""apda-cgsa"":0.08,""apda-eastukna"":0.24,""apda-eastup"":0.16,""apda-goia"":0.04,""apda-hyda"":4.12,""apda-idra"":0.22,""apda-ixca"":2.25,""apda-ixub"":0.27,""apda-jaia"":0.04,""apda-naga"":0.16,""apda-ncrnonup"":1.5,""apda-ncrup"":0.12,""apda-pnpf"":0.01,""apda-pnqa"":0.48,""apda-sguj"":0.07,""apda-sjaia"":0.04,""apda-snra"":0.13,""apda-tirb"":0.22,""apda-westup"":0.01,""ccua-hyda"":1.6,""ccua-tirb"":0.07,""guaa-hyda"":0.05,""jspa-hyda"":0.14,""orsa-hyda"":0.09,""orsa-tirb"":0.01,""path-hyda"":0.16}",17.45,16.04,1.41
BLRH,IDRH,"{""blraexnktk-eastukna"":0.42,""blraexnktk-eastup"":3.67,""blraexnktk-idra"":2.55,""cbea-eastup"":3.3,""cbea-idra"":0.74,""coka-eastukna"":0.01,""coka-eastup"":0.32,""coka-idra"":0.64,""ixma-eastup"":0.06,""ixma-idra"":0.45}",12.16,10.76,1.4
PNQH,AMDH,"{""ccua-amda"":1.45,""goia-amda"":0.4,""goia-sjaia"":0.04,""nktk-amda"":0.1,""pnqa-amda"":10.84,""pnqa-sjaia"":1.59}",14.42,13.04,1.38
VPIH,PNQH,"{""sguj-apda"":0.43,""sguj-goia"":0.3,""sguj-hyda"":1.88,""sguj-nktk"":0.24,""sguj-pnqa"":1.43,""sguj-snra"":0.17,""sguj-tirb"":0.23}",4.68,3.37,1.31
NAGH,HYDH,"{""cgsa-apda"":0,""cgsa-blraexnktk"":0.03,""cgsa-cbea"":0,""cgsa-coka"":0,""cgsa-hyda"":0.03,""cgsa-tirb"":0.01,""naga-apda"":0.29,""naga-blraexnktk"":1.05,""naga-cbea"":0.21,""naga-coka"":0.33,""naga-hyda"":0.69,""naga-ixma"":0.3,""naga-maaa"":0.48,""naga-tirb"":0.07}",3.49,2.22,1.27
RPRH,BBIH,"{""amda-orsa"":0.75,""boma-orsa"":2.61,""cgsa-ccua"":0.07,""cgsa-orsa"":0.09,""goia-orsa"":0.53,""idra-orsa"":0.71,""ixub-orsa"":0.17,""naga-ccua"":1.3,""naga-guaa"":0.23,""naga-orsa"":0.27,""pnqa-orsa"":1.87,""sguj-orsa"":1.16,""snra-orsa"":0.33}",10.09,8.83,1.26
AMCH,BUPH,"{""amda-ixca"":0.17,""apda-ixca"":0.01,""blraexnktk-ixca"":1.51,""boma-ixca"":1.26,""cbea-ixca"":0.01,""ccua-ixca"":0.72,""coka-ixca"":0,""eastukna-ixca"":0.01,""eastup-ixca"":0.16,""goia-ixca"":0,""guaa-ixca"":0,""hyda-ixca"":0.11,""idra-ixca"":0.01,""ixca-ixca"":0.61,""ixma-ixca"":0.04,""ixub-ixca"":0.05,""jaia-ixca"":0.17,""jspa-ixca"":0,""maaa-ixca"":1.15,""naga-ixca"":0.12,""ncrnonup-ixca"":1.42,""ncrup-ixca"":0.58,""orsa-ixca"":0,""path-ixca"":0.02,""pnpf-ixca"":0.01,""pnqa-ixca"":1.41,""sguj-ixca"":0.27,""sjaia-ixca"":0.01,""snra-ixca"":0.09,""westup-ixca"":0.02}",9.94,8.73,1.21
BOMH,VPIH,"{""apda-sguj"":0.07,""boma-sguj"":3.53,""ccua-sguj"":0.53,""cgsa-sguj"":0,""eastup-sguj"":0.35,""hyda-sguj"":0.66,""idra-sguj"":0.75,""ixub-sguj"":0.11,""jspa-sguj"":0.02,""naga-sguj"":0.35,""orsa-sguj"":0.01,""path-sguj"":0.01,""snra-sguj"":0.02,""tirb-sguj"":0.06,""westup-sguj"":0.16}",6.63,5.45,1.18
BLRH,PNQH,"{""blraexnktk-pnqa"":5.51,""cbea-pnqa"":2.35,""coka-pnqa"":0.62,""ixma-pnqa"":0.07}",8.55,7.42,1.13
PNQH,BGMH,"{""amda-nktk"":2.24,""boma-nktk"":0.85,""eastup-nktk"":0,""idra-nktk"":0.24,""ixca-nktk"":0.34,""ixub-nktk"":0.12,""jaia-nktk"":0.01,""naga-nktk"":0.14,""ncrnonup-nktk"":0.43,""ncrup-nktk"":0.19,""pnpf-nktk"":0.25,""pnqa-nktk"":0.73,""sguj-nktk"":0.24,""snra-nktk"":0}",5.78,4.66,1.12
AMDH,SRAJH,"{""amda-sjaia"":0.31,""blraexnktk-sjaia"":0.38,""boma-sjaia"":1.26,""cbea-sjaia"":0.08,""cgsa-sjaia"":0,""coka-sjaia"":0.01,""goia-sjaia"":0.04,""idra-sjaia"":0.07,""ixub-sjaia"":0.06,""maaa-sjaia"":0.71,""pnqa-sjaia"":1.59,""sguj-sjaia"":0.23,""snra-sjaia"":0.35}",5.09,3.99,1.1
CCUH,VZAH,"{""ccua-apda"":0.61,""ccua-hyda"":1.6,""ccua-maaa"":2.3,""ccua-tirb"":0.07,""guaa-apda"":0,""guaa-hyda"":0.05,""guaa-maaa"":0.13}",4.76,3.7,1.06
BRGH,PATH,"{""apda-path"":0.07,""blraexnktk-path"":0.57,""cbea-path"":0.04,""ccua-path"":4.19,""cgsa-path"":0.04,""coka-path"":0.07,""guaa-path"":0.28,""hyda-path"":0.43,""ixma-path"":0,""ixub-path"":0.19,""jspa-path"":0.44,""maaa-path"":0.67,""naga-path"":0.21,""orsa-path"":0.2,""tirb-path"":0}",7.4,6.39,1.01
IDRH,BLRH,"{""eastukna-blraexnktk"":1.26,""eastukna-cbea"":0.27,""eastukna-coka"":0,""eastukna-ixma"":0.05,""eastup-blraexnktk"":0.42,""eastup-cbea"":0.24,""eastup-coka"":0.07,""eastup-ixma"":0.02,""idra-blraexnktk"":1.42,""idra-cbea"":0.77,""idra-coka"":0.08,""idra-ixma"":0.43,""westup-blraexnktk"":3.48,""westup-cbea"":1.79,""westup-coka"":0.66,""westup-ixma"":0.16}",11.12,10.11,1.01
PNQH,NAGH,"{""goia-naga"":0.12,""pnqa-naga"":3.64,""snra-naga"":0.09}",3.85,2.85,1
CCUH,DELH,"{""ccua-jaia"":1.26,""ccua-ncrnonup"":4.47,""ccua-pnpf"":0.06,""ccua-sjaia"":0.11}",5.9,4.91,0.99
AMDH,PNQH,"{""amda-ccua"":3.29,""amda-goia"":0.22,""amda-guaa"":0.38,""amda-nktk"":2.24,""amda-pnqa"":3.16,""sjaia-goia"":0.02,""sjaia-pnqa"":0.02}",9.33,8.42,0.91
MAAH,SXVF,"{""maaa-cbea"":2.74,""maaa-coka"":4.84,""maaa-ixma"":1.5,""tirb-ixma"":0}",9.08,8.27,0.81
BOMH,JAIH,"{""boma-jaia"":4.59}",4.59,3.78,0.81
JAIH,PNQH,"{""jaia-goia"":0.01,""jaia-ixub"":0.01,""jaia-nktk"":0.01,""jaia-pnqa"":1.53,""jaia-snra"":0.01}",1.57,0.77,0.8
BGMH,BLRH,"{""goia-blraexnktk"":0.77,""goia-cbea"":0.08,""goia-coka"":0.3,""goia-ixma"":0.15,""goia-maaa"":0.7,""nktk-apda"":0.18,""nktk-blraexnktk"":0.36,""nktk-cbea"":0.18,""nktk-coka"":0.17,""nktk-hyda"":0.02,""nktk-ixma"":0.03,""nktk-jspa"":0.01,""nktk-maaa"":0.04,""nktk-orsa"":0.14,""nktk-tirb"":0.02}",3.15,2.37,0.78
AMCH,LUHB,"{""amda-ixca"":0.98,""apda-ixca"":0.08,""blraexnktk-ixca"":1.87,""boma-ixca"":4.6,""cbea-ixca"":0.78,""ccua-ixca"":0.81,""cgsa-ixca"":0,""coka-ixca"":0.17,""eastukna-ixca"":0.12,""eastup-ixca"":0.93,""goia-ixca"":0.2,""guaa-ixca"":0.01,""hyda-ixca"":0.64,""idra-ixca"":0.37,""ixca-ixca"":2.82,""ixub-ixca"":0.63,""jaia-ixca"":0.24,""jspa-ixca"":0.15,""maaa-ixca"":2.71,""naga-ixca"":0.12,""ncrnonup-ixca"":7.43,""ncrup-ixca"":2.32,""nktk-ixca"":0,""path-ixca"":0.04,""pnpf-ixca"":0.02,""pnqa-ixca"":4.54,""sguj-ixca"":0.65,""snra-ixca"":0.35,""westup-ixca"":0.16}",33.74,32.98,0.76
SXVF,COKH,"{""ixma-coka"":0.31,""maaa-coka"":4.84}",5.15,4.39,0.76
IDRH,KNPH,"{""amda-eastukna"":0.39,""amda-eastup"":1.62,""amda-path"":0.76,""apda-eastukna"":0.24,""apda-eastup"":0.16,""blraexnktk-eastukna"":0.42,""blraexnktk-eastup"":3.67,""boma-eastukna"":0.31,""boma-eastup"":5.8,""boma-path"":1.8,""cbea-eastup"":3.3,""cgsa-eastup"":0.07,""coka-eastukna"":0.01,""coka-eastup"":0.32,""goia-eastukna"":0.01,""goia-eastup"":0.5,""goia-path"":0.26,""hyda-eastukna"":0.07,""hyda-eastup"":1.02,""idra-eastup"":0.24,""idra-path"":0.04,""ixma-eastup"":0.06,""ixub-eastukna"":0.02,""ixub-eastup"":0.66,""naga-eastukna"":0.03,""naga-eastup"":0.33,""pnqa-eastukna"":0.76,""pnqa-eastup"":2.93,""pnqa-path"":0.54,""sguj-eastukna"":0.19,""sguj-eastup"":2.37,""sguj-path"":0.67,""snra-eastukna"":0.09,""snra-eastup"":0.53,""snra-path"":0.2,""tirb-eastup"":0}",30.39,29.64,0.75
VZAH,MAAH,"{""apda-maaa"":0.96,""ccua-maaa"":2.3,""guaa-maaa"":0.13,""jspa-maaa"":0.27,""orsa-maaa"":0.09,""path-maaa"":0.11}",3.86,3.11,0.75
PNQH,VPIH,"{""goia-sguj"":0.17,""pnqa-sguj"":2.01}",2.18,1.48,0.7
IDRH,MAAH,"{""amda-maaa"":4.35,""cgsa-maaa"":0.16,""eastukna-maaa"":0.53,""eastup-maaa"":0.45,""idra-maaa"":0.61,""sjaia-maaa"":0.1,""westup-maaa"":0.79}",6.99,6.3,0.69
DELH,BRGH,"{""jaia-jspa"":0.26,""jaia-orsa"":0.2,""ncrnonup-jspa"":2.79,""ncrnonup-orsa"":3.38,""pnpf-jspa"":0.42,""pnpf-orsa"":0.17,""sjaia-jspa"":0.07}",7.29,6.6,0.69
IDRH,AGRB,"{""amda-westup"":0.37,""boma-westup"":1.73,""goia-westup"":0.03,""idra-westup"":0.01,""ixub-westup"":0.54,""naga-westup"":0.09,""pnqa-westup"":0.88,""sguj-westup"":0.36,""snra-westup"":0.18}",4.19,3.51,0.68
COKH,SXVF,"{""coka-ixma"":0.4,""coka-maaa"":0.94}",1.34,0.66,0.68
NAGH,BOMH,"{""ixub-boma"":0.44,""naga-boma"":1.69,""naga-sguj"":0.35}",2.48,1.8,0.68
DEDH,AMCH,"{""ixca-amda"":1.1,""ixca-apda"":0.26,""ixca-blraexnktk"":0.92,""ixca-boma"":1.64,""ixca-cbea"":0.54,""ixca-ccua"":1.21,""ixca-cgsa"":0.32,""ixca-coka"":0.76,""ixca-eastukna"":0.12,""ixca-eastup"":1.12,""ixca-goia"":0.27,""ixca-guaa"":1.06,""ixca-hyda"":0.96,""ixca-idra"":0.52,""ixca-ixca"":2.16,""ixca-ixma"":1.09,""ixca-ixub"":0.06,""ixca-jaia"":0.65,""ixca-jspa"":0.27,""ixca-maaa"":1.14,""ixca-naga"":0.1,""ixca-ncrnonup"":0.85,""ixca-ncrup"":0.36,""ixca-nktk"":0.06,""ixca-orsa"":0.28,""ixca-pnpf"":0.01,""ixca-pnqa"":0.49,""ixca-sguj"":0.32,""ixca-sjaia"":0.14,""ixca-snra"":0.15,""ixca-tirb"":0.12,""ixca-westup"":0.11}",19.16,18.51,0.65
SXVF,CJBH,"{""ixma-cbea"":0.33,""maaa-cbea"":2.74}",3.07,2.46,0.61
AMCH,GZBH,"{""ixca-eastukna"":0.5,""ixca-ncrup"":1.76,""ixca-westup"":0.5}",2.76,2.15,0.61
CCUH,BBIH,"{""ccua-cgsa"":0.79,""ccua-ixub"":0.11,""ccua-naga"":0.31,""ccua-orsa"":3.99,""guaa-cgsa"":0.12,""guaa-ixub"":0,""guaa-naga"":0.03,""guaa-orsa"":0.04}",5.39,4.8,0.59
AGRB,DELH,"{""westup-ncrnonup"":1.14}",1.14,0.59,0.55
PNQH,JAIH,"{""goia-jaia"":0.31,""ixub-jaia"":0.01,""pnqa-jaia"":2.11,""snra-jaia"":0.8}",3.23,2.68,0.55
COKH,BLRH,"{""coka-amda"":0.27,""coka-apda"":0.13,""coka-blraexnktk"":1.51,""coka-boma"":0.88,""coka-ccua"":0.14,""coka-cgsa"":0.02,""coka-eastukna"":0.01,""coka-eastup"":0.32,""coka-goia"":0.02,""coka-guaa"":0.05,""coka-hyda"":1.43,""coka-idra"":0.64,""coka-ixca"":0.61,""coka-ixub"":0,""coka-jaia"":0.39,""coka-jspa"":0,""coka-naga"":0.01,""coka-ncrnonup"":1.46,""coka-ncrup"":0.26,""coka-nktk"":0.03,""coka-orsa"":0.14,""coka-path"":0.07,""coka-pnpf"":0.01,""coka-pnqa"":0.62,""coka-sguj"":0.36,""coka-sjaia"":0.01,""coka-snra"":0.1,""coka-tirb"":0.1,""coka-westup"":0.08}",9.67,9.14,0.53
VPIH,AMCH,"{""sguj-ixca"":1.9}",1.9,1.39,0.51
BLRH,VPIH,"{""blraexnktk-sguj"":1.55,""cbea-sguj"":0.45,""coka-sguj"":0.36,""maaa-sguj"":1.6}",3.96,3.47,0.49
BLRH,CJBH,"{""amda-cbea"":1.54,""apda-cbea"":0.07,""blraexnktk-cbea"":3,""boma-cbea"":3.38,""ccua-cbea"":0.48,""cgsa-cbea"":0,""eastukna-cbea"":0.27,""eastup-cbea"":0.24,""goia-cbea"":0.08,""guaa-cbea"":0,""hyda-cbea"":0.67,""idra-cbea"":0.77,""ixca-cbea"":0.69,""ixub-cbea"":0.48,""jaia-cbea"":0.07,""jspa-cbea"":0.09,""naga-cbea"":0.21,""ncrnonup-cbea"":3.57,""ncrup-cbea"":0.65,""nktk-cbea"":0.18,""orsa-cbea"":0.01,""path-cbea"":0.01,""pnpf-cbea"":0.05,""pnqa-cbea"":3.8,""sguj-cbea"":0.73,""snra-cbea"":0.27,""tirb-cbea"":0.01,""westup-cbea"":1.79}",23.11,22.64,0.47
DELH,AGRB,"{""apda-westup"":0.01,""blraexnktk-westup"":1.3,""cbea-westup"":0,""coka-westup"":0.08,""hyda-westup"":0.17,""ixma-westup"":0.01,""jaia-westup"":0.01,""maaa-westup"":1.03,""ncrnonup-westup"":2.31,""pnpf-westup"":0.31,""sjaia-westup"":0.03}",5.26,4.8,0.46
PATH,BRGH,"{""path-apda"":0.14,""path-blraexnktk"":0.1,""path-cbea"":0.01,""path-ccua"":0.53,""path-cgsa"":0.2,""path-coka"":0.12,""path-guaa"":0.31,""path-hyda"":0.16,""path-ixma"":0.01,""path-jspa"":0.24,""path-maaa"":0.11,""path-naga"":0.02,""path-nktk"":0,""path-orsa"":0.11}",2.06,1.62,0.44
AMDH,JAIH,"{""amda-jaia"":1.86,""cgsa-jaia"":0.01,""idra-jaia"":0.24,""naga-jaia"":0.09,""naga-sjaia"":0}",2.2,1.77,0.43
SNRH,IDRH,"{""ixub-eastukna"":0.02,""ixub-eastup"":0.66,""ixub-idra"":0.26,""ixub-westup"":0.54,""snra-eastukna"":0.09,""snra-eastup"":0.53,""snra-idra"":0.41,""snra-path"":0.2,""snra-westup"":0.18}",2.89,2.46,0.43
GOIB,BGMH,"{""goia-blraexnktk"":0.77,""goia-cbea"":0.08,""goia-coka"":0.3,""goia-ixma"":0.15,""goia-maaa"":0.7,""goia-nktk"":0.02}",2.02,1.59,0.43
AMDH,BLRH,"{""amda-blraexnktk"":7.59,""amda-cbea"":1.54,""amda-coka"":0.85,""amda-ixma"":0.96,""sjaia-blraexnktk"":0.13,""sjaia-coka"":0.01,""sjaia-ixma"":0.01}",11.09,10.67,0.42
SXVF,BLRH,"{""ixma-amda"":0.02,""ixma-apda"":0.07,""ixma-blraexnktk"":0.5,""ixma-boma"":0.09,""ixma-ccua"":0.17,""ixma-eastup"":0.06,""ixma-goia"":0.01,""ixma-guaa"":0,""ixma-hyda"":0.16,""ixma-idra"":0.45,""ixma-ixca"":0.04,""ixma-jaia"":0.03,""ixma-jspa"":0.01,""ixma-naga"":0.05,""ixma-ncrnonup"":0.38,""ixma-ncrup"":0.16,""ixma-nktk"":0.02,""ixma-orsa"":0,""ixma-path"":0,""ixma-pnqa"":0.07,""ixma-westup"":0.01}",2.3,1.88,0.42
AMCH,VPIH,"{""ixca-sguj"":1.8}",1.8,1.42,0.38
CCUH,BLRH,"{""ccua-blraexnktk"":3.37,""ccua-cbea"":0.48,""ccua-coka"":1.12,""ccua-ixma"":0.33,""ccua-nktk"":0.01,""guaa-blraexnktk"":0.03,""guaa-cbea"":0,""guaa-coka"":0.01,""guaa-ixma"":0}",5.35,4.98,0.37
VPIH,JAIH,"{""sguj-jaia"":0.72}",0.72,0.36,0.36
DELH,KNPH,"{""ixca-path"":0.42,""jaia-eastup"":0.67,""jaia-path"":0.42,""maaa-eastup"":2.41,""ncrnonup-eastup"":10.05,""ncrnonup-path"":3.97,""pnpf-eastup"":1.37,""pnpf-path"":0.25,""sjaia-eastup"":0.01}",19.57,19.21,0.36
MAAH,HYDH,"{""maaa-hyda"":7.53,""maaa-tirb"":0.54}",8.07,7.72,0.35
BLRH,BGMH,"{""apda-nktk"":0.11,""blraexnktk-goia"":0.51,""blraexnktk-nktk"":2.58,""cbea-goia"":0,""cbea-nktk"":0.32,""ccua-nktk"":0.01,""coka-goia"":0.02,""coka-nktk"":0.03,""hyda-nktk"":0.49,""ixma-goia"":0.01,""ixma-nktk"":0.02,""maaa-goia"":1.38,""maaa-nktk"":0.66,""orsa-nktk"":0,""path-nktk"":0,""tirb-nktk"":0.01}",6.15,5.81,0.34
BRGH,KNPH,"{""jspa-eastukna"":0.29,""jspa-eastup"":0.12,""jspa-ixca"":0.24,""jspa-ncrup"":0.02,""jspa-westup"":0,""orsa-eastukna"":0.12,""orsa-eastup"":0.03,""orsa-ixca"":0.03,""orsa-ncrup"":0.21}",1.06,0.72,0.34
DELH,VPIH,"{""eastukna-sguj"":0.02,""ncrnonup-sguj"":2.06,""ncrup-sguj"":0.45,""pnpf-sguj"":0.17}",2.7,2.37,0.33
BRGH,CCUH,"{""jspa-ccua"":0.36,""jspa-guaa"":0.34,""path-ccua"":0.53,""path-guaa"":0.31}",1.54,1.23,0.31
KNPH,BRGH,"{""eastukna-jspa"":0.02,""eastukna-orsa"":0.37,""eastup-jspa"":0.42,""eastup-orsa"":0.23,""ixca-jspa"":0.96,""ixca-orsa"":1.31,""ncrup-jspa"":0.46,""ncrup-orsa"":1.18,""westup-jspa"":0.2,""westup-orsa"":0.09}",5.24,4.95,0.29
AMDH,VPIH,"{""amda-sguj"":1.59,""jaia-sguj"":0.06}",1.65,1.37,0.28
SNRH,BOMH,"{""snra-amda"":0.33,""snra-boma"":0.93,""snra-cgsa"":0.29,""snra-jspa"":0.24,""snra-orsa"":0.33,""snra-sguj"":0.02,""snra-sjaia"":0.35}",2.49,2.22,0.27
KNPH,AMCH,"{""ccua-ixca"":2.35,""eastup-ixca"":1.74,""guaa-ixca"":0.03,""jspa-ixca"":0.24,""orsa-ixca"":0.03,""path-ixca"":0.07}",4.46,4.19,0.27
PNQH,CCUH,"{""amda-ccua"":3.29,""amda-guaa"":0.38,""goia-ccua"":0.6,""goia-guaa"":0.2,""ixub-ccua"":0.01,""ixub-guaa"":0.01,""nktk-ccua"":0.56,""pnqa-ccua"":8.67,""pnqa-guaa"":1.18,""snra-ccua"":0.85,""snra-guaa"":0.46}",16.21,15.96,0.25
BLRH,HYDH,"{""blraexnktk-cgsa"":0.64,""blraexnktk-hyda"":8.71,""blraexnktk-naga"":0.67,""blraexnktk-tirb"":0.6,""cbea-cgsa"":0.16,""cbea-hyda"":0.86,""cbea-naga"":0.1,""cbea-tirb"":0.03,""coka-cgsa"":0.02,""coka-hyda"":1.43,""coka-naga"":0.01,""coka-tirb"":0.1,""ixma-hyda"":0.16,""ixma-naga"":0.05,""nktk-hyda"":0.02,""nktk-tirb"":0.02}",13.58,13.37,0.21
SNRH,DELH,"{""ixub-ncrnonup"":0.18,""ixub-ncrup"":0.22,""snra-ixca"":1.08,""snra-ncrnonup"":1.31,""snra-ncrup"":0.58}",3.37,3.17,0.2
KNPH,DELH,"{""eastup-jaia"":0.63,""eastup-ncrnonup"":2.39,""eastup-pnpf"":0.04,""eastup-sjaia"":0.4,""guaa-jaia"":0,""guaa-ncrnonup"":0.3,""path-ixca"":0,""path-jaia"":0,""path-ncrnonup"":0.2,""path-sjaia"":0,""westup-jaia"":0.13,""westup-sjaia"":0.02}",4.11,3.91,0.2
GAUB,CCUH,"{""guaa-apda"":0,""guaa-blraexnktk"":0.03,""guaa-cbea"":0,""guaa-ccua"":0.6,""guaa-cgsa"":0.12,""guaa-coka"":0.01,""guaa-hyda"":0.05,""guaa-ixma"":0,""guaa-ixub"":0,""guaa-jspa"":0.08,""guaa-maaa"":0.13,""guaa-naga"":0.03,""guaa-orsa"":0.04,""guaa-path"":0.28}",1.37,1.18,0.19
SRAJH,AMDH,"{""sjaia-amda"":0.01,""sjaia-blraexnktk"":0.13,""sjaia-boma"":0.15,""sjaia-coka"":0.01,""sjaia-goia"":0.02,""sjaia-idra"":0.05,""sjaia-ixma"":0.01,""sjaia-ixub"":0,""sjaia-maaa"":0.1,""sjaia-pnqa"":0.02}",0.5,0.31,0.19
BBIH,CCUH,"{""cgsa-ccua"":0.07,""naga-ccua"":1.3,""naga-guaa"":0.23,""orsa-ccua"":0.44,""orsa-guaa"":0.24}",2.28,2.11,0.17
AMCH,BOMH,"{""ixca-boma"":6.11,""ixca-goia"":0.72,""ixca-ixub"":0.27,""ixca-nktk"":0.34,""ixca-pnqa"":3.91,""ixca-snra"":0.47}",11.82,11.66,0.16
