Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
BGMH,PNQH,"{""nktk-amda"":0.1,""nktk-boma"":0.03,""nktk-ccua"":0.56,""nktk-cgsa"":0.01,""nktk-idra"":0.06,""nktk-ixca"":0.06,""nktk-ncrnonup"":0.44,""nktk-ncrup"":0.02,""nktk-pnqa"":0.46,""nktk-snra"":0}",1.74,1.6,0.14
SRAJH,DELH,"{""sjaia-apda"":0.11,""sjaia-ccua"":0.02,""sjaia-eastup"":0.01,""sjaia-hyda"":0.15,""sjaia-ixca"":0.02,""sjaia-jspa"":0.07,""sjaia-ncrnonup"":0.19,""sjaia-ncrup"":0.07,""sjaia-pnpf"":0,""sjaia-tirb"":0.04,""sjaia-westup"":0.03}",0.71,0.59,0.12
HYDH,HYDH,"{""hyda-tirb"":1.39,""tirb-hyda"":0.43}",1.82,1.71,0.11
GZBH,AGRB,"{""eastukna-westup"":0.01,""ixca-westup"":0.5,""ncrup-westup"":1.68}",2.19,2.08,0.11
AMDH,BOMH,"{""amda-boma"":4.59,""amda-ixub"":0.83,""amda-snra"":0.22,""jaia-boma"":1.39,""sjaia-boma"":0.15,""sjaia-ixub"":0}",7.18,7.08,0.1
NAGH,NAGH,"{""ixub-naga"":0.05,""naga-ixub"":0.33}",0.38,0.29,0.09
VZAH,CCUH,"{""apda-ccua"":0.54,""apda-guaa"":0.12,""hyda-ccua"":2.34,""hyda-guaa"":0.35,""maaa-ccua"":4.28,""maaa-guaa"":0.64,""tirb-ccua"":0.03,""tirb-guaa"":0}",8.3,8.21,0.09
SRAJH,JAIH,"{""sjaia-jaia"":0.32}",0.32,0.25,0.07
AGRB,GZBH,"{""westup-eastukna"":0.07,""westup-ixca"":0.31,""westup-ncrup"":0.57}",0.95,0.9,0.05
CJBH,COKH,"{""cbea-coka"":0.13}",0.13,0.09,0.04
BBIH,VZAH,"{""jspa-apda"":0.07,""jspa-blraexnktk"":0.28,""jspa-cbea"":0.09,""jspa-coka"":0.04,""jspa-hyda"":0.14,""jspa-ixma"":0.04,""jspa-maaa"":0.27,""orsa-apda"":0.04,""orsa-blraexnktk"":0.09,""orsa-cbea"":0.01,""orsa-coka"":0.02,""orsa-hyda"":0.09,""orsa-ixma"":0.04,""orsa-maaa"":0.09,""orsa-nktk"":0,""orsa-tirb"":0.01,""path-apda"":0.14,""path-blraexnktk"":0.1,""path-cbea"":0.01,""path-coka"":0.12,""path-hyda"":0.16,""path-ixma"":0.01,""path-maaa"":0.11,""path-nktk"":0}",1.97,2,-0.03
BOMH,AMDH,"{""boma-amda"":12.88,""boma-sjaia"":1.26,""ixub-amda"":0.07,""ixub-sjaia"":0.06,""snra-amda"":0.33,""snra-sjaia"":0.35}",14.95,14.98,-0.03
SNRH,NAGH,"{""ixub-snra"":0,""snra-ixub"":0.06}",0.06,0.1,-0.04
AGRB,KNPH,"{""westup-ccua"":1.32,""westup-eastup"":0.48,""westup-guaa"":0.03,""westup-jspa"":0.2,""westup-orsa"":0.09,""westup-path"":0.21}",2.33,2.38,-0.05
IDRH,SNRH,"{""eastup-ixub"":0.15,""eastup-snra"":0.01,""idra-snra"":0.01,""westup-ixub"":0.05,""westup-snra"":0.06}",0.28,0.33,-0.05
BRGH,DELH,"{""jspa-ixca"":0.01,""jspa-jaia"":0.02,""jspa-ncrnonup"":0.35,""jspa-sjaia"":0,""orsa-jaia"":0.02,""orsa-ncrnonup"":0.21,""orsa-sjaia"":0.01}",0.62,0.69,-0.07
KNPH,AGRB,"{""ccua-westup"":0.28,""eastup-westup"":1.76,""jspa-westup"":0,""path-westup"":0}",2.04,2.15,-0.11
HYDH,MAAH,"{""hyda-maaa"":2.55,""naga-maaa"":0.48,""tirb-maaa"":0.12}",3.15,3.27,-0.12
COKH,CJBH,"{""coka-cbea"":0.17}",0.17,0.31,-0.14
DELH,NAGH,"{""ncrnonup-cgsa"":2.43,""ncrnonup-naga"":1.83,""ncrup-cgsa"":1.04,""ncrup-naga"":0.63,""pnpf-cgsa"":0.03,""pnpf-naga"":0.1}",6.06,6.2,-0.14
AMCH,OIXH,"{""amda-ixca"":0.05,""apda-ixca"":0.01,""blraexnktk-ixca"":0.37,""boma-ixca"":1.3,""ccua-ixca"":0.05,""cgsa-ixca"":0,""coka-ixca"":0.05,""eastup-ixca"":0.15,""goia-ixca"":0.12,""hyda-ixca"":0.79,""idra-ixca"":0.03,""ixca-ixca"":0.22,""ixub-ixca"":0.01,""jaia-ixca"":0,""jspa-ixca"":0,""maaa-ixca"":0.63,""naga-ixca"":0.02,""ncrnonup-ixca"":1.82,""ncrup-ixca"":0.38,""pnpf-ixca"":0.03,""pnqa-ixca"":0.26,""sguj-ixca"":0.09,""snra-ixca"":0.04,""westup-ixca"":0}",6.42,6.57,-0.15
GAUB,KNPH,"{""guaa-amda"":0.05,""guaa-boma"":0.05,""guaa-eastup"":0.09,""guaa-idra"":0.1,""guaa-ixca"":0.03,""guaa-jaia"":0,""guaa-ncrnonup"":0.3,""guaa-ncrup"":0.08,""guaa-pnqa"":0.03}",0.73,0.89,-0.16
BLRH,SXVF,"{""amda-ixma"":0.96,""apda-ixma"":0.09,""blraexnktk-ixma"":1.33,""boma-ixma"":1.19,""ccua-ixma"":0.33,""eastukna-ixma"":0.05,""eastup-ixma"":0.02,""goia-ixma"":0.15,""guaa-ixma"":0,""hyda-ixma"":0.43,""idra-ixma"":0.43,""ixca-ixma"":1.68,""ixub-ixma"":0.5,""jspa-ixma"":0.04,""naga-ixma"":0.3,""ncrnonup-ixma"":1.19,""ncrup-ixma"":0.28,""nktk-ixma"":0.03,""orsa-ixma"":0.04,""path-ixma"":0.01,""pnpf-ixma"":0.11,""pnqa-ixma"":1.13,""sguj-ixma"":0.49,""sjaia-ixma"":0.01,""snra-ixma"":0.22,""westup-ixma"":0.16}",11.17,11.33,-0.16
DELH,IDRH,"{""ncrnonup-idra"":6.08,""pnpf-idra"":0.33}",6.41,6.6,-0.19
JAIH,SRAJH,"{""jaia-sjaia"":0.68}",0.68,0.87,-0.19
HYDH,PNQH,"{""apda-goia"":0.04,""apda-ixub"":0.27,""apda-pnqa"":0.48,""apda-snra"":0.13,""hyda-goia"":0.4,""hyda-ixub"":0.1,""hyda-pnqa"":1.01,""hyda-snra"":0.05,""tirb-goia"":0.09,""tirb-ixub"":0.01,""tirb-pnqa"":0.21}",2.79,2.98,-0.19
PATH,KNPH,"{""path-amda"":0.06,""path-boma"":0.21,""path-eastup"":0.08,""path-goia"":0,""path-idra"":0.04,""path-ixca"":0.07,""path-jaia"":0,""path-ncrnonup"":0.2,""path-ncrup"":0.11,""path-pnqa"":0.04,""path-sguj"":0.01,""path-sjaia"":0,""path-westup"":0}",0.82,1.02,-0.2
NAGH,PNQH,"{""naga-goia"":0.02,""naga-nktk"":0.14,""naga-pnqa"":0.62,""naga-snra"":0.13}",0.91,1.16,-0.25
DELH,PNQH,"{""eastukna-pnqa"":0.22,""ncrnonup-goia"":0.7,""ncrnonup-nktk"":0.43,""ncrnonup-pnqa"":10.21,""ncrup-goia"":0.14,""ncrup-nktk"":0.19,""ncrup-pnqa"":3.32,""pnpf-goia"":0.05,""pnpf-nktk"":0.25,""pnpf-pnqa"":0.16}",15.67,15.94,-0.27
BRGH,RPRH,"{""jspa-amda"":0.06,""jspa-boma"":0.25,""jspa-cgsa"":0.17,""jspa-idra"":0.03,""jspa-ixub"":0.7,""jspa-naga"":0.01,""jspa-pnqa"":0.37,""jspa-sguj"":0.02,""jspa-snra"":0,""path-cgsa"":0.2,""path-naga"":0.02}",1.83,2.1,-0.27
BRGH,BBIH,"{""eastukna-orsa"":0.37,""eastup-orsa"":0.23,""ixca-orsa"":1.31,""jaia-orsa"":0.2,""jspa-apda"":0.07,""jspa-blraexnktk"":0.28,""jspa-cbea"":0.09,""jspa-coka"":0.04,""jspa-hyda"":0.14,""jspa-ixma"":0.04,""jspa-maaa"":0.27,""jspa-orsa"":0.21,""ncrnonup-orsa"":3.38,""ncrup-orsa"":1.18,""path-apda"":0.14,""path-blraexnktk"":0.1,""path-cbea"":0.01,""path-coka"":0.12,""path-hyda"":0.16,""path-ixma"":0.01,""path-maaa"":0.11,""path-nktk"":0,""path-orsa"":0.11,""pnpf-orsa"":0.17,""westup-orsa"":0.09}",8.83,9.14,-0.31
KNPH,IDRH,"{""eastukna-apda"":0.02,""eastukna-blraexnktk"":1.26,""eastukna-cbea"":0.27,""eastukna-cgsa"":0.07,""eastukna-coka"":0,""eastukna-hyda"":0.16,""eastukna-idra"":0.19,""eastukna-ixma"":0.05,""eastukna-maaa"":0.53,""eastukna-naga"":0.02,""eastup-amda"":0.37,""eastup-apda"":0.11,""eastup-blraexnktk"":0.42,""eastup-boma"":0.94,""eastup-cbea"":0.24,""eastup-cgsa"":0.08,""eastup-coka"":0.07,""eastup-goia"":0.03,""eastup-hyda"":0.29,""eastup-idra"":0.66,""eastup-ixma"":0.02,""eastup-ixub"":0.15,""eastup-maaa"":0.45,""eastup-naga"":0.13,""eastup-nktk"":0,""eastup-pnqa"":0.13,""eastup-sguj"":0.35,""eastup-snra"":0.01,""eastup-tirb"":0.05,""guaa-amda"":0.05,""guaa-boma"":0.05,""guaa-idra"":0.1,""guaa-pnqa"":0.03,""ncrup-idra"":2.25,""path-amda"":0.06,""path-boma"":0.21,""path-goia"":0,""path-idra"":0.04,""path-pnqa"":0.04,""path-sguj"":0.01}",9.91,10.25,-0.34
CCUH,PNQH,"{""ccua-amda"":1.45,""ccua-goia"":0.18,""ccua-pnqa"":1.15,""ccua-snra"":0.17}",2.95,3.29,-0.34
BGMH,GOIB,"{""blraexnktk-goia"":0.51,""cbea-goia"":0,""coka-goia"":0.02,""ixma-goia"":0.01,""maaa-goia"":1.38,""nktk-goia"":0.1}",2.02,2.37,-0.35
HYDH,IDRH,"{""apda-amda"":1.22,""apda-eastukna"":0.24,""apda-eastup"":0.16,""apda-idra"":0.22,""hyda-amda"":1.58,""hyda-eastukna"":0.07,""hyda-eastup"":1.02,""hyda-idra"":2.91,""tirb-amda"":0.16,""tirb-eastup"":0,""tirb-idra"":0.02}",7.6,7.95,-0.35
DELH,GZBH,"{""jaia-eastukna"":0.05,""maaa-eastukna"":0.51,""ncrnonup-eastukna"":1.08,""ncrnonup-ncrup"":3.88,""pnpf-eastukna"":0.03,""pnpf-ncrup"":0.38}",5.93,6.28,-0.35
JAIH,AMCH,"{""jaia-ixca"":0.68}",0.68,1.05,-0.37
RPRH,BOMH,"{""cgsa-boma"":0.33,""cgsa-goia"":0,""cgsa-pnqa"":0.09,""cgsa-sguj"":0,""jspa-boma"":0.25,""jspa-ixub"":0.7,""jspa-pnqa"":0.37,""jspa-sguj"":0.02,""jspa-snra"":0,""orsa-boma"":0.19,""orsa-goia"":0.01,""orsa-pnqa"":0.01,""orsa-sguj"":0.01,""orsa-snra"":0.03}",2.01,2.39,-0.38
PNQH,MAAH,"{""ixub-maaa"":0.63,""pnqa-maaa"":12.38,""snra-maaa"":2.01}",15.02,15.46,-0.44
JAIH,AMDH,"{""jaia-amda"":0.29,""jaia-boma"":1.39,""jaia-cgsa"":0.09,""jaia-idra"":0.34,""jaia-naga"":0.05,""jaia-sguj"":0.06}",2.22,2.69,-0.47
BBIH,RPRH,"{""ccua-cgsa"":0.79,""ccua-ixub"":0.11,""ccua-naga"":0.31,""guaa-cgsa"":0.12,""guaa-ixub"":0,""guaa-naga"":0.03,""orsa-amda"":0.09,""orsa-boma"":0.19,""orsa-cgsa"":0.33,""orsa-goia"":0.01,""orsa-idra"":0.12,""orsa-naga"":0.02,""orsa-pnqa"":0.01,""orsa-sguj"":0.01,""orsa-snra"":0.03}",2.17,2.69,-0.52
BUPH,AMCH,"{""ixca-amda"":0.12,""ixca-apda"":0.1,""ixca-blraexnktk"":0.22,""ixca-boma"":0.56,""ixca-cbea"":0,""ixca-ccua"":0.13,""ixca-coka"":0.03,""ixca-eastukna"":0,""ixca-eastup"":0.14,""ixca-goia"":0.03,""ixca-guaa"":0.02,""ixca-hyda"":0.12,""ixca-idra"":0.15,""ixca-ixca"":0.55,""ixca-ixma"":0.01,""ixca-ixub"":0.01,""ixca-jaia"":0.1,""ixca-jspa"":0,""ixca-maaa"":0.15,""ixca-naga"":0.03,""ixca-ncrnonup"":0.79,""ixca-ncrup"":0.25,""ixca-nktk"":0,""ixca-orsa"":0,""ixca-path"":0,""ixca-pnpf"":0,""ixca-pnqa"":0.05,""ixca-sguj"":0.01,""ixca-sjaia"":0.02,""ixca-snra"":0.01,""ixca-tirb"":0.02,""ixca-westup"":0.04}",3.66,4.19,-0.53
CCUH,KNPH,"{""ccua-eastukna"":0.01,""ccua-eastup"":1,""ccua-ixca"":2.35,""ccua-ncrup"":1.17,""ccua-westup"":0.28}",4.81,5.36,-0.55
MAAH,DELH,"{""maaa-eastukna"":0.51,""maaa-eastup"":2.41,""maaa-ixca"":11.9,""maaa-ncrnonup"":14.52,""maaa-ncrup"":4.55,""maaa-pnpf"":0.19,""maaa-westup"":1.03}",35.11,35.67,-0.56
IDRH,PNQH,"{""eastup-goia"":0.03,""eastup-nktk"":0,""eastup-pnqa"":0.13,""guaa-pnqa"":0.03,""idra-goia"":0.23,""idra-nktk"":0.24,""idra-pnqa"":0.96,""path-goia"":0,""path-pnqa"":0.04,""westup-goia"":0.09,""westup-pnqa"":0.66}",2.41,3,-0.59
RDPH,GZBH,"{""eastukna-amda"":0.42,""eastukna-apda"":0.02,""eastukna-blraexnktk"":1.26,""eastukna-boma"":0.37,""eastukna-cbea"":0.27,""eastukna-ccua"":0.25,""eastukna-cgsa"":0.07,""eastukna-coka"":0,""eastukna-eastup"":0.2,""eastukna-guaa"":0.07,""eastukna-hyda"":0.16,""eastukna-idra"":0.19,""eastukna-ixca"":0.43,""eastukna-ixma"":0.05,""eastukna-jaia"":0.39,""eastukna-jspa"":0.02,""eastukna-maaa"":0.53,""eastukna-naga"":0.02,""eastukna-ncrnonup"":0.84,""eastukna-ncrup"":0.04,""eastukna-orsa"":0.37,""eastukna-path"":0.06,""eastukna-pnqa"":0.22,""eastukna-sguj"":0.02,""eastukna-sjaia"":0.02,""eastukna-westup"":0.01}",6.3,6.89,-0.59
PNQH,GOIB,"{""amda-goia"":0.22,""apda-goia"":0.04,""boma-goia"":3.33,""ccua-goia"":0.18,""cgsa-goia"":0,""eastup-goia"":0.03,""hyda-goia"":0.4,""idra-goia"":0.23,""ixca-goia"":0.72,""ixub-goia"":0.02,""jaia-goia"":0.01,""naga-goia"":0.02,""ncrnonup-goia"":0.7,""ncrup-goia"":0.14,""orsa-goia"":0.01,""path-goia"":0,""pnpf-goia"":0.05,""pnqa-goia"":2.37,""sguj-goia"":0.3,""sjaia-goia"":0.02,""snra-goia"":0.17,""tirb-goia"":0.09,""westup-goia"":0.09}",9.14,9.77,-0.63
HYDH,DELH,"{""apda-ixca"":2.25,""apda-jaia"":0.04,""apda-ncrnonup"":1.5,""apda-ncrup"":0.12,""apda-pnpf"":0.01,""apda-sjaia"":0.04,""apda-westup"":0.01,""hyda-ixca"":4.57,""hyda-jaia"":0.5,""hyda-ncrnonup"":3.34,""hyda-ncrup"":0.41,""hyda-pnpf"":0.06,""hyda-sjaia"":0.12,""hyda-westup"":0.17,""tirb-jaia"":0.05,""tirb-ncrnonup"":0.41,""tirb-ncrup"":0.05}",13.65,14.41,-0.76
GOIB,PNQH,"{""goia-amda"":0.4,""goia-apda"":0.22,""goia-boma"":0.8,""goia-ccua"":0.6,""goia-cgsa"":0.3,""goia-eastukna"":0.01,""goia-eastup"":0.5,""goia-guaa"":0.2,""goia-hyda"":1,""goia-idra"":0.17,""goia-ixca"":1.18,""goia-ixub"":0.18,""goia-jaia"":0.31,""goia-jspa"":0.33,""goia-naga"":0.12,""goia-ncrnonup"":0.42,""goia-ncrup"":0.18,""goia-orsa"":0.53,""goia-path"":0.26,""goia-pnpf"":0,""goia-pnqa"":0.43,""goia-sguj"":0.17,""goia-sjaia"":0.04,""goia-snra"":0.44,""goia-tirb"":0.05,""goia-westup"":0.03}",8.87,9.77,-0.9
CCUH,GAUB,"{""amda-guaa"":0.38,""apda-guaa"":0.12,""blraexnktk-guaa"":0.59,""boma-guaa"":1.93,""cbea-guaa"":0.03,""ccua-guaa"":4.18,""coka-guaa"":0.05,""eastukna-guaa"":0.07,""eastup-guaa"":0.09,""goia-guaa"":0.2,""hyda-guaa"":0.35,""idra-guaa"":0.04,""ixca-guaa"":1.49,""ixma-guaa"":0,""ixub-guaa"":0.01,""jaia-guaa"":0.07,""jspa-guaa"":0.34,""maaa-guaa"":0.64,""naga-guaa"":0.23,""ncrnonup-guaa"":3.11,""ncrup-guaa"":0.81,""orsa-guaa"":0.24,""path-guaa"":0.31,""pnqa-guaa"":1.18,""sguj-guaa"":0.29,""snra-guaa"":0.46,""tirb-guaa"":0,""westup-guaa"":0.03}",17.24,18.14,-0.9
CJBH,BLRH,"{""cbea-amda"":3.97,""cbea-apda"":0.27,""cbea-blraexnktk"":3.08,""cbea-boma"":3.06,""cbea-ccua"":1.36,""cbea-cgsa"":0.16,""cbea-eastup"":3.3,""cbea-goia"":0,""cbea-guaa"":0.03,""cbea-hyda"":0.86,""cbea-idra"":0.74,""cbea-ixca"":1.03,""cbea-ixub"":0.16,""cbea-jaia"":0.9,""cbea-jspa"":1.84,""cbea-naga"":0.1,""cbea-ncrnonup"":4.52,""cbea-ncrup"":2.18,""cbea-nktk"":0.32,""cbea-orsa"":0.29,""cbea-path"":0.04,""cbea-pnqa"":2.35,""cbea-sguj"":0.45,""cbea-sjaia"":0.08,""cbea-tirb"":0.03,""cbea-westup"":0}",31.12,32.06,-0.94
HYDH,NAGH,"{""apda-cgsa"":0.08,""apda-naga"":0.16,""blraexnktk-cgsa"":0.64,""blraexnktk-naga"":0.67,""cbea-cgsa"":0.16,""cbea-naga"":0.1,""coka-cgsa"":0.02,""coka-naga"":0.01,""hyda-cgsa"":0.3,""hyda-naga"":0.27,""ixma-naga"":0.05,""tirb-naga"":0.03}",2.49,3.47,-0.98
RPRH,NAGH,"{""ccua-ixub"":0.11,""ccua-naga"":0.31,""cgsa-amda"":0.02,""cgsa-apda"":0,""cgsa-blraexnktk"":0.03,""cgsa-cbea"":0,""cgsa-coka"":0,""cgsa-eastup"":0.07,""cgsa-hyda"":0.03,""cgsa-idra"":0.39,""cgsa-ixca"":0.04,""cgsa-jaia"":0.01,""cgsa-maaa"":0.16,""cgsa-naga"":0.29,""cgsa-ncrnonup"":0.04,""cgsa-ncrup"":0.08,""cgsa-sjaia"":0,""cgsa-tirb"":0.01,""guaa-ixub"":0,""guaa-naga"":0.03,""jspa-amda"":0.06,""jspa-idra"":0.03,""jspa-naga"":0.01,""orsa-amda"":0.09,""orsa-idra"":0.12,""orsa-naga"":0.02,""path-naga"":0.02}",1.97,3,-1.03
SXVF,MAAH,"{""cbea-maaa"":0.65,""coka-maaa"":0.94,""ixma-maaa"":0.34,""ixma-tirb"":0.03}",1.96,3.03,-1.07
AMCH,IXCB,"{""amda-ixca"":1.38,""apda-ixca"":0.02,""blraexnktk-ixca"":1.8,""boma-ixca"":2.57,""cbea-ixca"":0.03,""ccua-ixca"":0.19,""cgsa-ixca"":0.04,""coka-ixca"":0,""eastukna-ixca"":0.17,""eastup-ixca"":0.21,""goia-ixca"":0.24,""guaa-ixca"":0.02,""hyda-ixca"":0.37,""idra-ixca"":0.15,""ixca-ixca"":1.03,""ixub-ixca"":0.01,""jaia-ixca"":0.12,""jspa-ixca"":0.09,""maaa-ixca"":1.85,""naga-ixca"":0,""ncrnonup-ixca"":4.11,""ncrup-ixca"":0.64,""orsa-ixca"":0.01,""path-ixca"":0.01,""pnpf-ixca"":0.02,""pnqa-ixca"":1.7,""sguj-ixca"":0.43,""sjaia-ixca"":0.01,""snra-ixca"":0.3,""westup-ixca"":0.06}",17.58,18.71,-1.13
OIXH,AMCH,"{""ixca-amda"":0.02,""ixca-apda"":0.11,""ixca-blraexnktk"":0.27,""ixca-boma"":0.24,""ixca-cbea"":0.01,""ixca-ccua"":0.03,""ixca-cgsa"":0.04,""ixca-coka"":0.03,""ixca-eastukna"":0,""ixca-eastup"":0.11,""ixca-goia"":0.02,""ixca-guaa"":0.12,""ixca-hyda"":0.07,""ixca-idra"":0.07,""ixca-ixca"":0.1,""ixca-ixma"":0,""ixca-ixub"":0.01,""ixca-jaia"":0.07,""ixca-jspa"":0.04,""ixca-maaa"":0.29,""ixca-naga"":0.06,""ixca-ncrnonup"":0.24,""ixca-ncrup"":0.06,""ixca-nktk"":0,""ixca-orsa"":0.05,""ixca-path"":0.07,""ixca-pnpf"":0.01,""ixca-pnqa"":0.11,""ixca-sguj"":0,""ixca-sjaia"":0.01,""ixca-snra"":0.02,""ixca-tirb"":0.04,""ixca-westup"":0.01}",2.33,3.47,-1.14
CJBH,SXVF,"{""cbea-ixma"":0.27,""cbea-maaa"":0.65}",0.92,2.24,-1.32
KNPH,PATH,"{""amda-path"":0.76,""boma-path"":1.8,""eastukna-path"":0.06,""eastup-path"":0.27,""goia-path"":0.26,""idra-path"":0.04,""ixca-path"":1.67,""jaia-path"":0.42,""ncrnonup-path"":3.97,""ncrup-path"":1.03,""pnpf-path"":0.25,""pnqa-path"":0.54,""sguj-path"":0.67,""snra-path"":0.2,""westup-path"":0.21}",12.15,13.61,-1.46
NAGH,IDRH,"{""cgsa-amda"":0.02,""cgsa-eastup"":0.07,""cgsa-idra"":0.39,""cgsa-ixca"":0.04,""cgsa-jaia"":0.01,""cgsa-maaa"":0.16,""cgsa-ncrnonup"":0.04,""cgsa-ncrup"":0.08,""cgsa-sjaia"":0,""jspa-amda"":0.06,""jspa-idra"":0.03,""naga-amda"":0.13,""naga-eastukna"":0.03,""naga-eastup"":0.33,""naga-idra"":0.42,""naga-ixca"":0.46,""naga-jaia"":0.09,""naga-ncrnonup"":0.07,""naga-ncrup"":0.09,""naga-sjaia"":0,""naga-westup"":0.09,""orsa-amda"":0.09,""orsa-idra"":0.12}",2.82,4.3,-1.48
IDRH,DELH,"{""cgsa-ixca"":0.04,""cgsa-ncrnonup"":0.04,""cgsa-ncrup"":0.08,""idra-ixca"":0.61,""idra-ncrnonup"":1.22,""idra-ncrup"":0.15,""idra-pnpf"":0,""naga-ixca"":0.46,""naga-ncrnonup"":0.07,""naga-ncrup"":0.09}",2.76,4.24,-1.48
MAAH,BOMH,"{""maaa-boma"":10.55}",10.55,12.07,-1.52
NAGH,RPRH,"{""amda-cgsa"":0.74,""amda-jspa"":0.57,""amda-orsa"":0.75,""apda-cgsa"":0.08,""blraexnktk-cgsa"":0.64,""cbea-cgsa"":0.16,""coka-cgsa"":0.02,""eastukna-cgsa"":0.07,""eastup-cgsa"":0.08,""hyda-cgsa"":0.3,""idra-cgsa"":0.22,""idra-jspa"":0.06,""idra-orsa"":0.71,""ixca-cgsa"":1.79,""ixub-cgsa"":0.1,""ixub-orsa"":0.17,""ixub-path"":0.19,""jaia-cgsa"":0.09,""maaa-cgsa"":2.11,""naga-ccua"":1.3,""naga-cgsa"":0.74,""naga-guaa"":0.23,""naga-jspa"":0.05,""naga-orsa"":0.27,""naga-path"":0.21,""ncrnonup-cgsa"":2.43,""ncrup-cgsa"":1.04,""pnpf-cgsa"":0.03,""westup-cgsa"":0.09}",15.24,16.82,-1.58
AMDH,IDRH,"{""amda-apda"":1.15,""amda-cgsa"":0.74,""amda-eastukna"":0.39,""amda-eastup"":1.62,""amda-hyda"":3.59,""amda-idra"":1.53,""amda-jspa"":0.57,""amda-maaa"":4.35,""amda-naga"":0.82,""amda-orsa"":0.75,""amda-path"":0.76,""amda-tirb"":0.12,""amda-westup"":0.37,""jaia-cgsa"":0.09,""jaia-idra"":0.34,""jaia-naga"":0.05,""sjaia-idra"":0.05,""sjaia-maaa"":0.1}",17.39,19,-1.61
BLRH,AMCH,"{""blraexnktk-ixca"":7.83,""cbea-ixca"":1.03,""coka-ixca"":0.61,""ixma-ixca"":0.04}",9.51,11.95,-2.44
IDRH,AMDH,"{""apda-amda"":1.22,""cgsa-amda"":0.02,""cgsa-jaia"":0.01,""cgsa-sjaia"":0,""eastup-amda"":0.37,""guaa-amda"":0.05,""hyda-amda"":1.58,""idra-amda"":2,""idra-jaia"":0.24,""idra-sjaia"":0.07,""ixca-amda"":2.59,""jspa-amda"":0.06,""maaa-amda"":6.62,""naga-amda"":0.13,""naga-jaia"":0.09,""naga-sjaia"":0,""orsa-amda"":0.09,""path-amda"":0.06,""tirb-amda"":0.16,""westup-amda"":0.38}",15.74,18.21,-2.47
IDRH,NAGH,"{""amda-cgsa"":0.74,""amda-jspa"":0.57,""amda-naga"":0.82,""amda-orsa"":0.75,""eastukna-cgsa"":0.07,""eastukna-naga"":0.02,""eastup-cgsa"":0.08,""eastup-naga"":0.13,""idra-cgsa"":0.22,""idra-ixub"":0.09,""idra-jspa"":0.06,""idra-naga"":0.35,""idra-orsa"":0.71,""ixca-cgsa"":1.79,""ixca-naga"":0.77,""jaia-cgsa"":0.09,""jaia-naga"":0.05,""maaa-cgsa"":2.11,""maaa-naga"":0.84,""westup-cgsa"":0.09,""westup-naga"":0.14}",10.49,13.41,-2.92
DELH,AMDH,"{""eastukna-amda"":0.42,""ncrnonup-amda"":6.3,""ncrup-amda"":2.36,""pnpf-amda"":0.38}",9.46,13.71,-4.25
